db-derby,http://issues.apache.org/jira/browse/DERBY
db-torque,https://issues.apache.org/jira/browse/TORQUE
deltaspike,https://issues.apache.org/jira/browse/DELTASPIKE
directory,http://issues.apache.org/jira/browse/DIR
directory-fortress,http://issues.apache.org/jira/browse/FC
directory-kerby,http://issues.apache.org/jira/browse/DIRKRB
directory-server,http://issues.apache.org/jira/browse/DIRSERVER
directory-studio,http://issues.apache.org/jira/browse/DIRSTUDIO
drill,https://issues.apache.org/jira/browse/DRILL/
empire-db,https://issues.apache.org/jira/browse/EMPIREDB
falcon,https://issues.apache.org/jira/browse/FALCON
felix,https://issues.apache.org/jira/browse/FELIX
flex,https://issues.apache.org/jira/browse/FLEX
flink,https://issues.apache.org/jira/browse/FLINK
flume,https://issues.apache.org/jira/browse/FLUME
geronimo,http://issues.apache.org/jira/browse/GERONIMO
giraph,https://issues.apache.org/jira/browse/GIRAPH
gora,https://issues.apache.org/jira/browse/GORA
groovy,https://issues.apache.org/jira/browse/GROOVY
guacamole,https://issues.apache.org/jira/browse/GUACAMOLE
gump,http://issues.apache.org/jira/secure/BrowseProject.jspa?id=10457
hadoop,http://issues.apache.org/jira/browse/HADOOP
hama,https://issues.apache.org/jira/browse/HAMA
hbase,http://issues.apache.org/jira/browse/HBASE
helix,https://issues.apache.org/jira/browse/HELIX
hive,https://issues.apache.org/jira/browse/HIVE
httpcomponents-client,http://issues.apache.org/jira/browse/HTTPCLIENT
httpcomponents-commons_httpclient,http://issues.apache.org/jira/browse/HTTPCLIENT
httpcomponents-core,http://issues.apache.org/jira/browse/HTTPCORE
ignite,https://issues.apache.org/jira/browse/IGNITE
incubator-datafu,https://issues.apache.org/jira/browse/DATAFU
incubator-edgent,https://issues.apache.org/jira/browse/EDGENT
incubator-freemarker,https://issues.apache.org/jira/browse/FREEMARKER
incubator-milagro,https://issues.apache.org/jira/browse/MILAGRO
isis,https://issues.apache.org/jira/browse/ISIS
jackrabbit,http://issues.apache.org/jira/browse/JCR
james,http://issues.apache.org/jira/browse/JAMES
jclouds,https://issues.apache.org/jira/browse/JCLOUDS
jena,https://issues.apache.org/jira/browse/JENA
juddi-scout,http://issues.apache.org/jira/
kafka,https://issues.apache.org/jira/browse/KAFKA
karaf,https://issues.apache.org/jira/browse/KARAF
knox,http://issues.apache.org/jira/browse/KNOX
lens,https://issues.apache.org/jira/browse/LENS
libcloud,https://issues.apache.org/jira/browse/LIBCLOUD
logging-log4cxx,http://issues.apache.org/jira/browse/LOGCXX
logging-log4net,https://issues.apache.org/jira/browse/LOG4NET
logging-log4php,https://issues.apache.org/jira/browse/LOG4PHP
lucene-core,http://issues.apache.org/jira/browse/LUCENE
lucene-solr,http://issues.apache.org/jira/browse/SOLR
lucenenet-lucenedotnet,https://issues.apache.org/jira/browse/LUCENENET/
lucy,https://issues.apache.org/jira/browse/LUCY
mahout,https://issues.apache.org/jira/browse/MAHOUT
manifoldcf,https://issues.apache.org/jira/browse/CONNECTORS
marmotta,http://issues.apache.org/jira/browse/MARMOTTA
maven,https://issues.apache.org/jira/browse/MNG
maven-doxia,https://issues.apache.org/jira/browse/DOXIA
maven-doxia,https://issues.apache.org/jira/browse/DOXIASITETOOLS
maven-doxia,https://issues.apache.org/jira/browse/DOXIATOOLS
mesos,https://issues.apache.org/jira/browse/MESOS
metamodel,https://issues.apache.org/jira/browse/METAMODEL
mina,http://issues.apache.org/jira/browse/DIRMINA
mina-ftpserver,http://issues.apache.org/jira/browse/FTPSERVER
mina-sshd,http://issues.apache.org/jira/browse/SSHD
mina-vysper,http://issues.apache.org/jira/browse/VYSPER
myfaces,http://issues.apache.org/jira/browse/MYFACES
myfaces-tobago,http://issues.apache.org/jira/browse/TOBAGO
nutch,http://issues.apache.org/jira/browse/NUTCH
ode,https://issues.apache.org/jira/browse/ODE
ofbiz,https://issues.apache.org/jira/browse/OFBIZ
olingo,https://issues.apache.org/jira/browse/OLINGO
oltu--_parent,https://issues.apache.org/jira/browse/OLTU
oodt,https://issues.apache.org/jira/browse/OODT
oozie,https://issues.apache.org/jira/browse/OOZIE
openjpa,http://issues.apache.org/jira/browse/OPENJPA
openmeetings,https://issues.apache.org/jira/browse/OPENMEETINGS
opennlp,https://issues.apache.org/jira/browse/OPENNLP
openwebbeans,http://issues.apache.org/jira/browse/OWB
orc,https://issues.apache.org/jira/browse/orc
parquet,https://issues.apache.org/jira/browse/PARQUET
pdfbox,https://issues.apache.org/jira/browse/PDFBOX
phoenix,http://issues.apache.org/jira/browse/PHOENIX
pig,https://issues.apache.org/jira/browse/PIG
pivot,http://issues.apache.org/jira/browse/PIVOT
polygene,https://issues.apache.org/jira/browse/POLYGENE
qpid,http://issues.apache.org/jira/browse/qpid
qpid,http://issues.apache.org/jira/browse/PROTON
reef,http://issues.apache.org/jira/browse/REEF
river,https://issues.apache.org/jira/browse/RIVER
roller,https://issues.apache.org/jira/browse/ROL
samza,https://issues.apache.org/jira/browse/SAMZA
santuario,https://issues.apache.org/jira/browse/SANTUARIO
serf,https://issues.apache.org/jira/browse/SERF/
shiro,http://issues.apache.org/jira/browse/SHIRO
sis-spatial_information_system,http://issues.apache.org/jira/browse/SIS
spark,http://issues.apache.org/jira/browse/SPARK
sqoop,http://issues.apache.org/jira/browse/SQOOP
stanbol,https://issues.apache.org/jira/browse/STANBOL
steve,https://issues.apache.org/jira/browse/STEVE
storm,https://issues.apache.org/jira/browse/STORM
struts,https://issues.apache.org/jira/browse/WW/
subversion,https://issues.apache.org/jira/browse/SVN
synapse,https://issues.apache.org/jira/browse/SYNAPSE
syncope,https://issues.apache.org/jira/browse/SYNCOPE
tajo,https://issues.apache.org/jira/browse/TAJO
tapestry,https://issues.apache.org/jira/browse/TAP5
tez,https://issues.apache.org/jira/browse/TEZ
thrift,https://issues.apache.org/jira/browse/THRIFT
tika,http://issues.apache.org/jira/browse/TIKA
tiles,https://issues.apache.org/jira/browse/TILES
tomee,http://issues.apache.org/jira/browse/TOMEE
trafficserver-traffic_server,https://issues.apache.org/jira/browse/TS
trafodion,http://issues.apache.org/jira/browse/TRAFODION
turbine,http://issues.apache.org/jira/browse/TRB
uima,https://issues.apache.org/jira/browse/UIMA
vcl,https://issues.apache.org/jira/browse/VCL
velocity,http://issues.apache.org/jira/browse/VELOCITY
velocity-anakia,http://issues.apache.org/jira/browse/ANAKIA
velocity-dvsl,http://issues.apache.org/jira/browse/VELOCITY
velocity-texen,http://issues.apache.org/jira/browse/TEXEN
velocity-tools,http://issues.apache.org/jira/browse/VELTOOLS
vxquery,https://issues.apache.org/jira/browse/VXQUERY
