projects
tapestry3
apr-iconv
tapestry4
sling-old-svn-mirror
xalan-j
etch
apr
stdcxx
zookeeper
lucenenet
apr-util
jspwiki
spamassassin
ofbiz
directory-studio
felix
chainsaw
maven-wagon
maven-resources
harmony-drlvm
struts-maven
httpd
camel
fop
maven-scm
maven-plugins
axis2-java
directory-samples
maven-release
maven-enforcer
axis2-c
synapse
maven-mercury
cayenne
pluto
pig
commons-collections
maven-doxia-tools
openjpa
mina
poi
nutch
commons-codec
harmony-jdktools
maven-shared
river
commons-lang
log4j
jsecurity
activemq
maven-skins
maven-repository-tools
xml-graphics-commons
harmony-classlib
struts1
commons-io
httpcomponents-core
maven-doxia-sitetools
struts-sandbox
httpcomponents-client
jackrabbit
sanselan
xalan-c
wicket
couchdb
continuum
maven-ant-tasks
maven-plugin-testing
maven-site
maven-sandbox
cassandra
maven-pom
tika
cocoon
struts-site
directory-server
maven-jxr
chemistry
hive
batik
ode
roller
avro
axis1
maven-artifact
buildr
maven-doxia
qpid
abdera
maven
maven-archetype
shindig
maven-plugin-tools
commons-logging
commons-cli
servicemix-pom
servicemix4-nmr
servicemix-archetypes
servicemix4-legal
servicemix4-bundles
servicemix4-kernel
servicemix4-features
servicemix3
servicemix-utils
servicemix-maven-plugins
servicemix4-specs
wss4j
webservices-xmlschema
webservices-neethi
geronimo-specs
geronimo-genesis
geronimo-xbean
geronimo
geronimo-gshell
geronimo-yoko
geronimo-javamail
wink
myfaces
xmlbeans
shiro
activemq-stomp
activemq-cpp
activemq-activeio
activemq-protobuf
thrift
pdfbox
aries
trafficserver
tuscany-sca-1.x
tuscany-das
tuscany-sdo
tuscany-sca-2.x
libcloud
httpd-docs-build
subversion
tuscany-sca-cpp
jmeter
log4j-component
flood
maven-2
myfaces-scripting
ace
mina-sshd
esme
log4j-zeroconf
harmony
log4j-extras
log4j-receivers
deltacloud
tomcat55
photark
tomcat-native
karaf
tomcat-connectors
nuvem
whirr
maven-surefire
tomcat70
hama
mod_perl
apreq
myfaces-html5
npanday
commons-validator
forrest
servicemix-documentation
webservices-commons-xmlschema
myfaces-extcdi
myfaces-extval
